City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Clyde River,70.4692,-68.5914,3.13,75,0,2.57,CA,1655620735
Cockburn Town,21.4612,-71.1419,27.45,80,100,7.07,TC,1655620737
Kawalu,-7.3817,108.2082,28.38,65,92,2.17,ID,1655620738
Samarai,-10.6167,150.6667,27.35,80,31,4.33,PG,1655620739
Carnarvon,-24.8667,113.6333,21.56,56,3,7.05,AU,1655620740
Awjilah,29.1081,21.2869,26.89,42,0,1.3,LY,1655620742
Norman Wells,65.282,-126.8329,22.02,40,40,3.09,CA,1655620744
Tuatapere,-46.1333,167.6833,7.49,86,100,1.11,NZ,1655620745
Kumul,42.8,93.45,32.6,12,24,2.99,CN,1655620747
Port Hedland,-20.3167,118.5667,30.03,32,0,3.6,AU,1655620748
Tarakan,3.3,117.6333,29.72,66,40,1.03,ID,1655620749
Phang Nga,8.4509,98.5298,30.02,69,99,2.25,TH,1655620751
Klaksvík,62.2266,-6.589,8.51,92,100,11.01,FO,1655620752
Iqaluit,63.7506,-68.5145,4.83,70,75,4.63,CA,1655620564
Erenhot,43.6475,111.9767,38.02,9,70,7.84,CN,1655620754
Esperance,-33.8667,121.9,13.91,72,87,11.81,AU,1655620675
Chhātāpur,26.2167,87.0167,35.94,45,52,0.38,IN,1655620757
Karasjok,69.4719,25.5112,6.54,80,100,2.79,NO,1655620758
Longyearbyen,78.2186,15.6401,4.91,75,75,7.2,SJ,1655620759
Halifax,44.6453,-63.5724,12.44,97,100,1.54,CA,1655620466
Kalianget,-7.05,113.9333,28.79,74,58,4.13,ID,1655620762
Eilat,29.5581,34.9482,29.91,39,0,5.14,IL,1655620763
Souillac,-20.5167,57.5167,24.21,73,75,7.2,MU,1655620764
Qaqortoq,60.7167,-46.0333,5.46,98,100,3.33,GL,1655620768
Broken Hill,-31.95,141.4333,13.2,52,100,2.04,AU,1655620769
Andenes,69.3143,16.1194,10.99,82,100,3.6,NO,1655620770
Quaraí,-30.3875,-56.4514,3.41,69,59,2.55,BR,1655620771
Alice Springs,-23.7,133.8833,20.68,32,100,3.6,AU,1655620772
Lüderitz,-26.6481,15.1594,13.54,76,50,4.84,NA,1655620774
West Wendover,40.7391,-114.0733,17.56,29,0,11.32,US,1655620775
Aswān,24.0934,32.907,32.61,27,0,6.17,EG,1655620776
Nobeoka,32.5833,131.6667,30.97,78,100,3.23,JP,1655620777
Le Port,-20.9373,55.2919,24.97,68,20,3.33,RE,1655620779
Nanortalik,60.1432,-45.2371,5.92,97,100,4.41,GL,1655620780
Wolfenbüttel,52.1667,10.55,21.13,72,54,3.09,DE,1655620781
Olafsvik,64.8945,-23.7142,9.44,87,42,7.85,IS,1655620783
Cascais,38.6979,-9.4215,18.29,79,40,3.13,PT,1655620784
Barcelos,41.5388,-8.6151,16.04,88,12,1.54,PT,1655620786
Hamilton,39.1834,-84.5333,13.98,68,0,1.54,US,1655620787
Lermontovka,47.1453,134.3383,22.65,62,97,3.09,RU,1655620788
Provideniya,64.3833,-173.3,12.53,57,12,3.36,RU,1655620550
Prince George,53.9166,-122.753,12.37,96,100,2.06,CA,1655620540
Impfondo,1.6381,18.0667,22.38,85,100,1.8,CG,1655620791
Bandarbeyla,9.4942,50.8122,31.69,42,100,12.18,SO,1655620793
Aykhal,66.0,111.5,13.61,45,0,8.93,RU,1655620794
Progreso,21.2833,-89.6667,24.5,88,98,4.21,MX,1655620795
Cabo San Lucas,22.8909,-109.9124,27.48,74,12,3.26,MX,1655620745
Pindiga,9.9833,10.9333,22.97,72,100,4.03,NG,1655620797
Namatanai,-3.6667,152.4333,27.7,76,17,2.3,PG,1655620798
Terrace,54.5163,-128.6035,13.95,82,75,7.2,CA,1655620800
Levokumskoye,44.8219,44.6606,29.35,25,47,2.71,RU,1655620801
Bhindār,24.5,74.1833,34.14,45,98,5.34,IN,1655620802
Soe,-9.8607,124.284,26.13,48,2,3.99,ID,1655620803
Pudozh,61.8099,36.5345,10.31,97,100,3.53,RU,1655620805
Berbera,10.4396,45.0143,37.13,32,40,7.29,SO,1655620806
Tocopilla,-22.092,-70.1979,14.41,70,0,1.69,CL,1655620807
Xuanzhou,30.9525,118.7553,28.85,69,100,3.74,CN,1655620809
Jiaocheng,24.6774,116.1389,27.35,90,100,1.72,CN,1655620810
Vega de Alatorre,20.0333,-96.6333,24.55,85,90,1.36,MX,1655620811
Taltal,-25.4,-70.4833,12.96,83,38,0.56,CL,1655620812
Faanui,-16.4833,-151.75,26.11,78,5,7.79,PF,1655620813
Katsuura,35.1333,140.3,22.99,88,100,7.32,JP,1655620815
Antsohihy,-14.8796,47.9875,28.79,43,5,2.98,MG,1655620816
Inuvik,68.3499,-133.7218,10.45,81,75,5.14,CA,1655620817
Waipawa,-41.4122,175.5153,8.03,80,100,6.94,NZ,1655620818
San Juan,-31.5375,-68.5364,8.73,33,46,1.5,AR,1655620747
Pevek,69.7008,170.3133,3.88,75,100,2.62,RU,1655620821
Muroto-misakicho,33.2833,134.15,23.84,87,100,3.09,JP,1655620822
Örnsköldsvik,63.2909,18.7153,8.58,92,100,6.85,SE,1655620823
Weinan,34.5036,109.5089,38.32,24,86,2.4,CN,1655620824
Puerto Escondido,15.85,-97.0667,26.4,86,100,3.3,MX,1655620826
Mukhen,48.1,136.1,18.66,91,100,1.51,RU,1655620827
Necochea,-38.5473,-58.7368,7.06,49,100,6.06,AR,1655620828
Isla Mujeres,21.2311,-86.731,26.76,79,100,5.01,MX,1655620829
Gijón,43.5357,-5.6615,16.39,97,54,0.45,ES,1655620831
Aripuanã,-9.1667,-60.6333,19.24,75,99,0.91,BR,1655620832
Paita,-5.0892,-81.1144,17.13,82,74,6.29,PE,1655620834
Adrar,20.5022,-10.0711,27.88,51,51,5.05,MR,1655620835
Port Blair,11.6667,92.75,32.02,58,40,3.6,IN,1655620837
Nizhniy Bestyakh,61.9594,129.9086,26.38,30,0,5.0,RU,1655620838
Bubaque,11.2833,-15.8333,25.91,83,100,8.65,GW,1655620839
Paamiut,61.994,-49.6678,4.58,97,100,3.8,GL,1655620840
Yar-Sale,66.8333,70.8333,25.11,39,78,6.41,RU,1655620842
Stony Plain,53.5334,-114.0021,14.82,80,75,2.06,CA,1655620844
Yenagoa,4.9247,6.2642,23.47,94,100,1.42,NG,1655620845
Tezu,27.9167,96.1667,22.91,98,100,1.5,IN,1655620846
Mehamn,71.0357,27.8492,6.97,81,100,2.57,NO,1655620847
Svetlaya,46.5389,138.3297,14.56,94,100,1.21,RU,1655620849
Zhigansk,66.7697,123.3711,16.52,40,100,5.55,RU,1655620850
Castro,-24.7911,-50.0119,7.73,97,71,2.37,BR,1655620797
Severobaykal'sk,55.65,109.3167,12.38,77,70,2.01,RU,1655620852
Agbor,6.2518,6.1934,22.68,93,54,1.23,NG,1655620853
Puerto Quijarro,-17.7833,-57.7667,16.31,71,0,1.23,BO,1655620855
Naze,28.3667,129.4833,25.51,84,100,5.95,JP,1655620856
Constitución,-35.3333,-72.4167,10.01,61,100,1.38,CL,1655620857
Fortuna,40.5982,-124.1573,11.61,90,100,0.45,US,1655620858
Verkhoyansk,67.5447,133.385,22.72,40,100,9.17,RU,1655620860
Yonibana,8.4447,-12.245,21.45,98,82,1.57,SL,1655620861
Fenoarivo,-18.933,47.4354,18.04,68,20,3.09,MG,1655620862
Hofn,64.2539,-15.2082,10.39,67,10,1.87,IS,1655620864
Srednekolymsk,67.45,153.6833,17.9,32,96,3.0,RU,1655620865
Kyzyl-Suu,42.3414,78.0056,16.84,59,2,2.85,KG,1655620867
Guangyuan,32.442,105.823,32.78,45,94,1.93,CN,1655620868
Alofi,-19.0595,-169.9187,24.94,83,89,4.63,NU,1655620869
Kigorobya,1.6162,31.3089,20.05,89,100,1.2,UG,1655620871
La Providencia,28.7167,-111.5833,27.26,80,43,6.19,MX,1655620873
Cairns,-16.9167,145.7667,22.97,60,24,6.17,AU,1655620874
Gravdal,68.1214,13.5031,10.05,81,85,2.25,NO,1655620875
Del Rio,29.3627,-100.8968,30.72,49,0,6.17,US,1655620877
Alyangula,-13.8483,136.4192,26.2,65,6,5.47,AU,1655620878
Grimshaw,56.1834,-117.6027,9.79,93,75,4.12,CA,1655620879
Shitanjing,39.2342,106.3439,32.49,17,24,6.36,CN,1655620880
Hirara,24.8,125.2833,31.15,79,75,7.2,JP,1655620881
Lagos,6.5833,3.75,23.18,93,100,0.57,NG,1655620648
Yilan,24.757,121.753,30.78,71,100,1.89,TW,1655620884
Emet,39.343,29.2585,19.04,67,22,3.43,TR,1655620885
Gornopravdinsk,60.05,69.9,26.27,33,11,2.16,RU,1655620886
Vagay,57.9375,69.0217,26.45,34,15,2.02,RU,1655620887
Broome,42.2506,-75.833,8.83,73,0,4.63,US,1655620889
Jumla,29.2747,82.1838,21.21,53,99,3.37,NP,1655620744
Agüimes,27.9054,-15.4461,19.08,76,20,9.26,ES,1655620891
Urusha,54.05,122.9,18.97,57,82,3.3,RU,1655620892
Tilichiki,60.4667,166.1,9.79,72,100,2.3,RU,1655620893
Kiryat Gat,31.61,34.7642,26.8,100,0,3.01,IL,1655620894
Hārij,23.7,71.9,35.21,46,70,5.39,IN,1655620896
College,64.8569,-147.8028,16.14,68,75,3.6,US,1655620897
Kidal,18.4411,1.4078,31.55,32,99,3.38,ML,1655620898
Rawson,-43.3002,-65.1023,5.6,72,98,6.76,AR,1655620849
Ortaköy,38.7373,34.0387,18.14,53,5,5.48,TR,1655620900
Emirdağ,39.0197,31.15,18.81,70,53,2.51,TR,1655620902
São João da Barra,-21.6403,-41.0511,20.8,88,96,5.56,BR,1655620903
Kaniama,-7.5667,24.1833,23.74,39,9,1.27,CD,1655620904
Yulara,-25.2406,130.9889,22.26,22,100,2.78,AU,1655620905
Mandalgovi,45.7625,106.2708,17.44,63,100,7.84,MN,1655620851
Mossamedes,-15.1961,12.1522,16.54,82,97,4.41,AO,1655620908
Borogontsy,62.6683,131.1683,25.32,35,100,3.01,RU,1655620910
Baykit,61.67,96.37,22.37,54,100,0.69,RU,1655620911
Meulaboh,4.1363,96.1285,27.5,72,91,2.34,ID,1655620851
Leshan,29.5623,103.7639,33.26,46,17,1.23,CN,1655620913
Dekar,-21.5333,21.9333,15.88,34,0,3.97,BW,1655620914
Pacific Grove,36.6177,-121.9166,11.94,85,100,5.36,US,1655620872
Abong Mbang,3.9833,13.1833,19.88,95,99,0.79,CM,1655620916
Águilas,37.4063,-1.5829,25.18,65,2,1.17,ES,1655620918
Middelburg,-25.7751,29.4648,13.41,33,0,1.0,ZA,1655620919
Hecelchakán,20.1667,-90.1333,21.86,98,100,1.18,MX,1655620920
Tucupita,9.0622,-62.051,20.95,98,30,1.23,VE,1655620921
Evensk,61.95,159.2333,7.46,91,100,4.35,RU,1655620923
Savannah Bight,16.45,-85.85,27.39,83,100,9.07,HN,1655620924
Ampanihy,-24.7,44.75,20.78,57,0,5.9,MG,1655620925
Chamba,32.5667,76.1333,29.75,41,100,4.04,IN,1655620926
San Luis de la Paz,21.3,-100.5167,16.5,86,87,1.94,MX,1655620927
Katangli,51.7102,143.2326,8.08,90,100,6.9,RU,1655620929
Turan,16.0678,108.2208,36.99,44,20,1.54,VN,1655620930
Rafai,4.95,23.9167,20.27,94,100,0.93,CF,1655620931
Oistins,13.0667,-59.5333,27.05,74,40,9.26,BB,1655620788
Coahuayana Viejo,18.7333,-103.6833,24.54,87,97,1.09,MX,1655620934
Marzuq,14.4,46.4667,33.08,22,96,1.38,YE,1655620937
Ambovombe,-25.1667,46.0833,20.62,67,37,4.93,MG,1655620938
Caçu,-18.5567,-51.1308,16.26,97,14,1.12,BR,1655620939
San Cristobal,7.7669,-72.225,18.02,98,98,1.59,VE,1655620940
Bengkulu,-3.8004,102.2655,27.78,80,90,2.44,ID,1655620942
Linfen,36.0889,111.5189,39.31,16,6,9.14,CN,1655620702
Aksay,47.26,39.87,24.03,38,1,1.79,RU,1655620944
Te Anau,-45.4167,167.7167,5.15,94,97,1.95,NZ,1655620945
Lucapa,-8.4192,20.7447,21.03,31,100,2.03,AO,1655620946
Dubrovnik,42.6481,18.0922,25.8,36,0,3.6,HR,1655620691
Bacolod City,10.6667,122.95,29.29,75,100,1.96,PH,1655620949
Jiuquan,39.7432,98.5174,27.75,25,99,5.31,CN,1655620950
Comodoro Rivadavia,-45.8667,-67.5,1.92,75,0,3.6,AR,1655620952
Oudtshoorn,-33.5907,22.2014,9.2,71,0,0.59,ZA,1655620953
Grindavik,63.8424,-22.4338,10.26,87,75,6.69,IS,1655620955
Port Moresby,-9.4431,147.1797,29.68,70,40,10.29,PG,1655620956
Palmer,42.1584,-72.3287,10.34,80,100,6.17,US,1655620743
New Glasgow,45.5834,-62.6486,13.88,98,100,4.31,CA,1655620958
Manta,-0.95,-80.7333,21.88,88,100,2.06,EC,1655620847
Belmonte,-15.8631,-38.8828,20.45,85,7,0.67,BR,1655620960
Weligama,5.9667,80.4167,29.39,66,100,3.86,LK,1655620961
Ayr,55.4627,-4.6339,11.96,82,75,7.2,GB,1655620964
Constantine,36.365,6.6147,24.67,43,0,4.63,DZ,1655620965
Bathsheba,13.2167,-59.5167,27.34,74,40,9.26,BB,1655620967
Leh,34.1667,77.5833,14.36,26,91,3.03,IN,1655620968
Ust'-Ilimsk,58.0006,102.6619,18.73,67,100,1.69,RU,1655620970
Romanovka,51.7443,42.7527,21.01,64,60,2.99,RU,1655620971
Diamantino,-14.4086,-56.4461,17.76,99,30,1.33,BR,1655620735
Grand Haven,43.0631,-86.2284,11.68,72,0,1.54,US,1655620973
